job_title,clean_job_title
Quality Assuarance Manager,"['quality', 'assuarance', 'manager']"
Junior Prfessional Associate,"['junior', 'prfessional', 'associate']"
Sisian ADP Manager,"['sisian', 'adp', 'manager']"
Lawyer,['lawyer']
Vacancy Notice,"['vacancy', 'notice']"
Program Officer,"['program', 'officer']"
Para-professional (Teacher's Aide),"['para', 'professional', 'teacher', 'aide']"
Human Resource Department Manager,"['human', 'resource', 'department', 'manager']"
Translator / Interpreter,"['translator', 'interpreter']"
Administrative Intern,"['administrative', 'intern']"
Health Manager,"['health', 'manager']"
Global Fund PRIU Team Leader,"['global', 'fund', 'priu', 'team', 'leader']"
Retail Analist,"['retail', 'analist']"
Fastfood and Pub Manager,"['fastfood', 'pub', 'manager']"
Programmer,['programmer']
Designers,['designer']
Training Manager,"['training', 'manager']"
Programmer,['programmer']
IATP Mobile trainer,"['iatp', 'mobile', 'trainer']"
"System Administrator, Microsoft Web Developer, Microsoft Office","['system', 'administrator', 'microsoft', 'web', 'developer', 'microsoft', 'office']"
Project Coordinator,"['project', 'coordinator']"
Chief Financial Specialist,"['chief', 'financial', 'specialist']"
Rural Microlending Expert in Georgia,"['rural', 'microlending', 'expert', 'georgia']"
Finance Manager,"['finance', 'manager']"
Financial Control Clerk,"['financial', 'control', 'clerk']"
Responsible for product,"['responsible', 'product']"
Customer Service Representative,"['customer', 'service', 'representative']"
Network Administrator,"['network', 'administrator']"
Senior Industrial Automation Engineer,"['senior', 'industrial', 'automation', 'engineer']"
Attn.: Volunteers from the NGO Sector in Vanadzor,"['attn', 'volunteer', 'ngo', 'sector', 'vanadzor']"
Trade Agents,"['trade', 'agent']"
Teacher,['teacher']
Teacher of Statistics,"['teacher', 'statistic']"
Teacher of Management,"['teacher', 'management']"
Teacher of Economics,"['teacher', 'economics']"
Teacher of Mathematics Applied To Management,"['teacher', 'mathematics', 'apply', 'management']"
Teacher of Marketing,"['teacher', 'marketing']"
"Program Director/Chief of Party, Business & Economics Program,","['program', 'director', 'chief', 'party', 'business', 'economics', 'program']"
Program Officer,"['program', 'officer']"
US Program Coordinator for School Connectivity Programs,"['us', 'program', 'coordinator', 'school', 'connectivity', 'program']"
Health Manager (Re-advertisement),"['health', 'manager', 'advertisement']"
Project Director (Visitarm Project),"['project', 'director', 'visitarm', 'project']"
South Tower,"['south', 'tower']"
Executive Secretary,"['executive', 'secretary']"
Business Trainers,"['business', 'trainer']"
"Poverty, Transition and Democracy in Armenia","['poverty', 'transition', 'democracy', 'armenia']"
Accountant,['accountant']
Finance Officer/Accountant,"['finance', 'officer', 'accountant']"
Manager,['manager']
Architect-Designer,"['architect', 'designer']"
Engineer,['engineer']
Accountant,['accountant']
Program Coordinator,"['program', 'coordinator']"
"Project Manager, Sustainable Livelihoods Program","['project', 'manager', 'sustainable', 'livelihood', 'program']"
Web Designer,"['web', 'designer']"
Java/C++ Programmer,"['java', 'c', 'programmer']"
Family Physician/General Practitioner in the 5-year Mobile,"['family', 'physician', 'general', 'practitioner', 'year', 'mobile']"
Gynaecologist in the 5-year Mobile Medical Teams (MMT) Project,"['gynaecologist', 'year', 'mobile', 'medical', 'team', 'mmt', 'project']"
